Individual_number,Species,Locality,Year,Month,Total_length_mm,Weight_g,Sampling_site,Lat,Long,Protective_regime,Proximity_human_settlements
1,Phorcus sauciatus,Azores,2018,,18.79,1.99,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
2,Phorcus sauciatus,Azores,2018,,22.27,3.9,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
3,Phorcus sauciatus,Azores,2018,,22.23,2.95,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
4,Phorcus sauciatus,Azores,2018,,20.96,2.41,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
5,Phorcus sauciatus,Azores,2018,,19.65,2.06,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
6,Phorcus sauciatus,Azores,2018,,19.14,1.61,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
7,Phorcus sauciatus,Azores,2018,,19.3,1.96,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
8,Phorcus sauciatus,Azores,2018,,16.49,1.51,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
9,Phorcus sauciatus,Azores,2018,,16.67,1.3,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
10,Phorcus sauciatus,Azores,2018,,16.14,1.11,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
11,Phorcus sauciatus,Azores,2018,,19.7,2.33,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
12,Phorcus sauciatus,Azores,2018,,17.8,1.63,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
13,Phorcus sauciatus,Azores,2018,,17.09,1.28,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
14,Phorcus sauciatus,Azores,2018,,14.04,0.87,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
15,Phorcus sauciatus,Azores,2018,,16.11,1.11,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
16,Phorcus sauciatus,Azores,2018,,13.81,0.7,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
17,Phorcus sauciatus,Azores,2018,,15.17,1.08,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
18,Phorcus sauciatus,Azores,2018,,16.62,1.26,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
19,Phorcus sauciatus,Azores,2018,,13.61,0.67,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
20,Phorcus sauciatus,Azores,2018,,13.38,0.62,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
21,Phorcus sauciatus,Azores,2018,,27.98,9.37,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
22,Phorcus sauciatus,Azores,2018,,25.45,7.1,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
23,Phorcus sauciatus,Azores,2018,,27.57,10.81,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
24,Phorcus sauciatus,Azores,2018,,26.12,8.33,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
25,Phorcus sauciatus,Azores,2018,,25.05,6.87,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
26,Phorcus sauciatus,Azores,2018,,24.84,5.06,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
27,Phorcus sauciatus,Azores,2018,,23.02,4.12,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
28,Phorcus sauciatus,Azores,2018,,22.68,4.22,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
29,Phorcus sauciatus,Azores,2018,,22.84,3.58,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
30,Phorcus sauciatus,Azores,2018,,26.47,7.74,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
31,Phorcus sauciatus,Azores,2018,,24.68,4.72,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
32,Phorcus sauciatus,Azores,2018,,20.72,3.84,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
33,Phorcus sauciatus,Azores,2018,,24.54,6.1,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
34,Phorcus sauciatus,Azores,2018,,22.59,4.44,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
35,Phorcus sauciatus,Azores,2018,,19.43,2.3,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
36,Phorcus sauciatus,Azores,2018,,23.05,5.24,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
37,Phorcus sauciatus,Azores,2018,,23.11,4.36,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
38,Phorcus sauciatus,Azores,2018,,24.02,4.57,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
39,Phorcus sauciatus,Azores,2018,,21.15,3.79,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
40,Phorcus sauciatus,Azores,2018,,24.44,6.06,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
41,Phorcus sauciatus,Azores,2018,,22.45,4.81,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
42,Phorcus sauciatus,Azores,2018,,22.2,3.86,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
43,Phorcus sauciatus,Azores,2018,,21.59,3.61,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
44,Phorcus sauciatus,Azores,2018,,23.2,3.83,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
45,Phorcus sauciatus,Azores,2018,,21.03,3.15,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
46,Phorcus sauciatus,Azores,2018,,21.43,2.95,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
47,Phorcus sauciatus,Azores,2018,,22.48,3.97,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
48,Phorcus sauciatus,Azores,2018,,19.96,2.44,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
49,Phorcus sauciatus,Azores,2018,,21.39,2.9,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
50,Phorcus sauciatus,Azores,2018,,23.14,4.09,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
51,Phorcus sauciatus,Azores,2018,,21.93,4.05,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
52,Phorcus sauciatus,Azores,2018,,22.1,4.91,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
53,Phorcus sauciatus,Azores,2018,,19.56,2.48,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
54,Phorcus sauciatus,Azores,2018,,23.16,4.95,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
55,Phorcus sauciatus,Azores,2018,,21.03,3.34,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
56,Phorcus sauciatus,Azores,2018,,26.09,8.2,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
57,Phorcus sauciatus,Azores,2018,,22.7,3.59,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
58,Phorcus sauciatus,Azores,2018,,23.3,5.02,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
59,Phorcus sauciatus,Azores,2018,,22.21,4.75,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
60,Phorcus sauciatus,Azores,2018,,17.47,1.57,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
61,Phorcus sauciatus,Azores,2018,,23.79,4.09,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
62,Phorcus sauciatus,Azores,2018,,21.48,3.68,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
63,Phorcus sauciatus,Azores,2018,,20.14,2.98,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
64,Phorcus sauciatus,Azores,2018,,21,2.87,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
65,Phorcus sauciatus,Azores,2018,,21.54,4.11,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
66,Phorcus sauciatus,Azores,2018,,19.18,2.05,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
67,Phorcus sauciatus,Azores,2018,,21.54,3.47,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
68,Phorcus sauciatus,Azores,2018,,19.72,2.84,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
69,Phorcus sauciatus,Azores,2018,,19.61,2.5,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
70,Phorcus sauciatus,Azores,2018,,21.46,3.01,Santa Maria,"36°57'06.5""N","25°06'20.3""W",Full access,Far
